Step,Row,Column,Heading,Left Wall,Front Wall,Right Wall
0,0,0,S,N,N,Y
1,1,0,S,N,Y,Y
2,1,0,E,N,N,Y
3,1,1,E,Y,N,N
4,1,2,E,N,Y,N
5,1,2,N,N,N,Y
6,0,2,N,N,Y,N
7,0,2,E,Y,N,N
8,0,3,E,Y,Y,N
9,0,3,S,Y,N,N
10,1,3,S,N,N,Y
11,2,3,S,Y,N,Y
12,3,3,S,N,N,N
13,3,3,E,N,N,N
14,3,4,E,Y,N,N
15,3,4,S,N,N,N
16,4,4,S,N,N,Y
17,4,4,E,N,N,Y
18,4,5,E,Y,N,Y
19,4,6,E,N,N,Y
20,4,6,N,N,N,Y
21,3,6,N,Y,Y,N
22,3,6,E,Y,N,N
23,3,7,E,N,N,Y
24,3,7,N,N,N,N
25,2,7,N,N,Y,N
26,2,7,W,N,N,Y
27,2,6,W,Y,N,N
28,2,5,W,Y,N,Y
29,2,4,W,Y,Y,Y
